service_name,country_code,availability_type,title_count,unique_titles
DIRECTV GO,AR,subscription,5,5
DIRECTV GO,CL,subscription,4,4
DIRECTV GO,CO,subscription,4,4
DIRECTV GO,MX,subscription,27,23
Disaster X Amazon Channel,AT,subscription,2,2
Disaster X Amazon Channel,DE,subscription,32,32
Discovery,US,subscription,14,14
Discovery,US,ads,10,10
Discovery +,CA,subscription,127,80
Discovery +,US,subscription,127,80
Discovery+,DE,subscription,86,56
Discovery+,GB,subscription,81,53
Discovery+,IN,subscription,41,41
Discovery+,IN,ads,15,15
Discovery+,IT,subscription,76,47
Discovery+ Amazon Channel,CA,subscription,126,78
Discovery+ Amazon Channel,DE,subscription,80,50
Discovery+ Amazon Channel,GB,subscription,92,58
Discovery+ Amazon Channel,IN,subscription,54,54
Discovery+ Amazon Channel,IT,subscription,62,40
Discovery+ Amazon Channel,US,subscription,132,82
Disney+,AR,subscription,2840,2731
Disney+,AT,subscription,250,204
Disney+,AU,subscription,3301,2842
Disney+,BE,subscription,249,201
Disney+,BR,subscription,2854,2466
Disney+,CA,subscription,3359,2883
Disney+,CH,subscription,2812,2691
Disney+,CL,subscription,221,182
Disney+,CO,subscription,221,182
Disney+,DE,subscription,2976,2554
Disney+,DK,subscription,2829,2710
Disney+,ES,subscription,2735,2330
Disney+,FI,subscription,246,201
Disney+,FR,subscription,3058,2671
Disney+,GB,subscription,3095,2639
Disney+,IE,subscription,2954,2838
Disney+,IT,subscription,2811,2432
Disney+,JP,subscription,2915,2422
Disney+,KR,subscription,2534,2148
Disney+,MX,subscription,3025,2631
Disney+,NL,subscription,2155,2033
Disney+,NO,subscription,2820,2702
Disney+,NZ,subscription,2542,2423
Disney+,PH,subscription,2210,2107
Disney+,PL,subscription,1917,1804
Disney+,PT,subscription,2625,2504
Disney+,SE,subscription,2222,2103
Disney+,SG,subscription,2113,2006
Disney+,TH,subscription,194,159
Disney+,TR,subscription,1681,1681
Disney+,TW,subscription,1904,1904
Disney+,US,subscription,1925,1705
DisneyNOW,US,subscription,26,26
DistroTV,US,ads,28,28
Dizi Amazon Channel,DE,subscription,2,1
Dizi Amazon Channel,ES,subscription,3,2
Djangowestern Amazon Channel,AT,subscription,1,1
Djangowestern Amazon Channel,DE,subscription,2,2
DocAlliance Films,BR,subscription,3,3
DocAlliance Films,CA,subscription,3,3
DocAlliance Films,DE,subscription,3,3
DocAlliance Films,ES,subscription,3,3
DocAlliance Films,FR,subscription,3,3
DocAlliance Films,GB,subscription,3,3
DocAlliance Films,IT,subscription,3,3
DocAlliance Films,JP,subscription,3,3
DocAlliance Films,KR,subscription,3,3
DocAlliance Films,MX,subscription,3,3
DocAlliance Films,US,subscription,4,4
DocPlay,AU,subscription,16,16
DocPlay,NZ,subscription,1,1
DocPlay Amazon Channel,AU,subscription,20,16
DocPlay Amazon Channel,NZ,subscription,1,1
Docsville Amazon Channel,GB,subscription,1,1
DocuramaFilms Amazon Channel,US,subscription,1,1
Doki Amazon Channel,US,subscription,11,6
Dove Amazon Channel,US,subscription,40,26
Dox Amazon Channel,US,subscription,1,1
Draken Films,SE,subscription,17,17
DRTV,DK,free,4,4
Eagle Magic Amazon Channel,IT,subscription,18,18
Eagle No Limits Amazon Channel,IT,subscription,34,34
Echoboom Amazon Channel ,US,subscription,1,1
Elisa Viihde,FI,subscription,16,16
Entertainment Asia Amazon Channel,JP,subscription,26,15
EPIC ON,IN,subscription,1,1
Eros Now Amazon Channel,GB,subscription,7,6
Eros Now Select Apple TV Channel,AU,subscription,1,1
Eros Now Select Apple TV Channel,IN,subscription,1,1
Eros Now Select Apple TV Channel,US,subscription,6,6
Eternal Family,US,subscription,16,16
Fandango at Home Free,US,ads,641,594
Fandor,CA,subscription,10,10
